path,category,subcategoryL1,subcategoryL2,sla_new,sla_triage,sla_forwarded,sla_investigation,sla_awaiting,sla_resolved
IGSAE,Education,Bribes,,,,,120,,
IGSAE,Education,Security,,,,,120,,
IGSAE,Education,Hygiene,,,,,120,,
IGSAE,Culture,Noise Pollution,,,,,24,,
IGSAE,Culture,Legality,,,,,120,,
IGSAE,Sport,Hygiene,,,,,120,,
IGSAE,Sport,Legality,,,,,120,,
IGSAE,Business,Establishment,,,,,24,,
IGSAE,Business,Security,,,,,120,,
IGSAE,Business,Hygiene,,,,,120,,
IGSAE,Services,Legality,,,,,120,,
IGSAE,Transportation,Legality,,,,,120,,
IGSAE,Tourism and Catering,Legality,,,,,120,,
IGSAE,Tourism and Catering,Hygiene,,,,,24-120,,
IGSAE,Intellectual Property,Legality,,,,,24-120,,
IGE,Complaint,Public Service,,,,,360,,
IGE,Complaint,Public Integrity,,,,,360,,
IGE,Complaint,Health,,,,,360,,
IGE,Complaint,Education,,,,,360,,
IGE,Complaint,Public Safety,,,,,360,,
IGE,Complaint,Public Administration,,,,,360,,
IGE,Complaint,Energy,,,,,360,,
IGE,Complaint,Water and Sanitation,,,,,360,,
IGE,Complaint,Public Finances,,,,,360,,
IGE,Complaint,Human Resources,,,,,360,,
IGE,Complaint,Earth and Environment,,,,,360,,
IGE,Complaint,Public Procurement,,,,,360,,
IGE,Complaint,Transportation,,,,,360,,
IGE,Petition,Land Housing Agriculture Education Health Justice Social Protection,,,,,360,,
