metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1787519865,1.000000,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_duration,1787519865,323.108366,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_blocked,1787519865,559.139402,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_connecting,1787519865,187.650999,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_tls_handshaking,1787519865,191.692909,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_sending,1787519865,0.104470,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_waiting,1787519865,322.749339,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_receiving,1787519865,0.254557,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_failed,1787519865,0.000000,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
vus,1787519865,1.000000,,,,,,,,,,,,,,,,
vus_max,1787519865,2.000000,,,,,,,,,,,,,,,,
vus,1787519866,1.000000,,,,,,,,,,,,,,,,
vus_max,1787519866,2.000000,,,,,,,,,,,,,,,,
vus,1787519867,1.000000,,,,,,,,,,,,,,,,
vus_max,1787519867,2.000000,,,,,,,,,,,,,,,,
http_reqs,1787519868,1.000000,,,,true,,POST,PGR_Create,HTTP/2.0,warmup,,200,,tls1.3,PGR_Create,,
http_req_duration,1787519868,452.790549,,,,true,,POST,PGR_Create,HTTP/2.0,warmup,,200,,tls1.3,PGR_Create,,
http_req_blocked,1787519868,0.000261,,,,true,,POST,PGR_Create,HTTP/2.0,warmup,,200,,tls1.3,PGR_Create,,
http_req_connecting,1787519868,0.000000,,,,true,,POST,PGR_Create,HTTP/2.0,warmup,,200,,tls1.3,PGR_Create,,
http_req_tls_handshaking,1787519868,0.000000,,,,true,,POST,PGR_Create,HTTP/2.0,warmup,,200,,tls1.3,PGR_Create,,
http_req_sending,1787519868,0.100161,,,,true,,POST,PGR_Create,HTTP/2.0,warmup,,200,,tls1.3,PGR_Create,,
http_req_waiting,1787519868,452.589204,,,,true,,POST,PGR_Create,HTTP/2.0,warmup,,200,,tls1.3,PGR_Create,,
http_req_receiving,1787519868,0.101184,,,,true,,POST,PGR_Create,HTTP/2.0,warmup,,200,,tls1.3,PGR_Create,,
http_req_failed,1787519868,0.000000,,,,true,,POST,PGR_Create,HTTP/2.0,warmup,,200,,tls1.3,PGR_Create,,
vus,1787519868,1.000000,,,,,,,,,,,,,,,,
vus_max,1787519868,2.000000,,,,,,,,,,,,,,,,
vus,1787519869,1.000000,,,,,,,,,,,,,,,,
vus_max,1787519869,2.000000,,,,,,,,,,,,,,,,
vus,1787519870,1.000000,,,,,,,,,,,,,,,,
vus_max,1787519870,2.000000,,,,,,,,,,,,,,,,
http_reqs,1787519870,1.000000,,,,true,,POST,PGR_Assign,HTTP/2.0,warmup,,200,,tls1.3,PGR_Assign,,
